Code,Pays,ICF_2014,ICF_2015,ICF_2016,ICF_2017,ICF_2018,ICF_2019
DE,Allemagne,1.47,1.50,1.60,1.57,1.57,1.54
AT,Autriche,1.46,1.49,1.53,1.52,1.47,1.46
BE,Belgique,1.74,1.70,1.68,1.65,1.62,1.60
BG,Bulgarie,1.53,1.53,1.54,1.56,1.56,1.58
CY,Chypre,1.31,1.32,1.37,1.32,1.32,1.33
HR,Croatie,1.46,1.40,1.42,1.42,1.47,1.47
DK,Danemark,1.69,1.71,1.79,1.75,1.73,1.70
ES,Espagne,1.32,1.33,1.34,1.31,1.26,1.23
EE,Estonie,1.54,1.58,1.60,1.59,1.67,1.66
FI,Finlande,1.71,1.65,1.57,1.49,1.41,1.35
FR,France,2.00,1.96,1.93,1.89,1.87,1.86
EL,Grèce,1.30,1.33,1.38,1.35,1.35,1.34
HU,Hongrie,1.44,1.45,1.53,1.54,1.55,1.55
IE,Irlande,1.89,1.85,1.81,1.77,1.75,1.71
IT,Italie,1.37,1.35,1.34,1.32,1.29,1.27
LV,Lettonie,1.65,1.70,1.74,1.69,1.60,1.61
LT,Lituanie,1.63,1.70,1.69,1.63,1.63,1.61
LU,Luxembourg,1.50,1.47,1.41,1.39,1.38,1.34
MT,Malte,1.38,1.37,1.37,1.26,1.23,1.14
NL,Pays-Bas,1.71,1.66,1.66,1.62,1.59,1.57
PL,Pologne,1.32,1.32,1.39,1.48,1.46,1.44
PT,Portugal,1.23,1.31,1.36,1.38,1.42,1.43
CZ,Tchéquie,1.53,1.57,1.63,1.69,1.71,1.71
RO,Roumanie,1.56,1.62,1.69,1.78,1.76,1.77
SK,Slovaquie,1.37,1.40,1.48,1.52,1.54,1.57
SI,Slovénie,1.58,1.57,1.58,1.62,1.60,1.61
SE,Suède,1.88,1.85,1.85,1.78,1.76,1.71
